LEGACY_TOLERANCE_GROUP	COMPANY_CODE	TOLERANCE_GROUP	TOLERANCE_GROUP_TXT_GBL	TOLERANCE_GROUP_TXT_LCL	DI_TIMESTAMP										
CUS1	1800	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	1800	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	1800	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	1800	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	1810	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	1810	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	1810	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	1810	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	1810	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	2110	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	2110	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	2110	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	2110	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	2110	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	2210	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	2210	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	2210	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	2210	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	2210	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	2310	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	2310	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	2310	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	2310	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	2310	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	2910	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	2910	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	2910	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	2910	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	2910	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	3010	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	3010	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	3010	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	3010	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	3010	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	3310	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	3310	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	3310	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	3310	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	3310	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	6110	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	6110	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	6110	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	6110	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	6110	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	6210	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	6210	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	6210	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	6210	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	6210	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	6310	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	6310	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	6310	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	6310	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	6310	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	6410	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	6410	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	6410	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	6410	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	6410	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
 	6910	 	Default Tolerance Cust/vend	Toleranz Deb/Kred	2018.06.19 05:33:47										
CUS1	6910	CUS1	Tol CUS1	Toleranz Debitor1	2018.06.19 05:33:47										
CUS2	6910	CUS2	Tol CUS2	Toleranz Debitor2	2018.06.19 05:33:47										
VEN1	6910	VEN1	Tol VEN1	Toleranz Kreditor1	2018.06.19 05:33:47										
VEN2	6910	VEN2	Tol VEN2	Toleranz Kreditor2	2018.06.19 05:33:47										
