LEGACY_CODE	CODE	CODE_GROUP	CATALOG	VERSION	CODE_TXT_GBL	CODE_TXT_LCL	DI_TIMESTAMP								
ME00	ME00	YB-PMME1	2	000001	Check lubrication	Schmierung prüfen	2017.07.06 08:56:49								
ME00	ME00	YB-PMME1	5	000001	Insufficient Lubrication	Unzureichende Schmierung	2017.07.06 08:56:49								
ME00	ME00	YB-PMME1	A	000001	Part replaced	Teil ersetzt	2017.07.06 08:56:49								
ME00	ME00	YB-PMME1	B	000001	Shaft	Welle	2017.07.06 08:56:49								
ME00	ME00	YB-PMME1	C	000001	Breakage	Bruch	2017.07.06 08:56:49								
ME01	ME01	YB-PMME1	2	000001	Carry out adjustment	Anpassung vornehmen	2017.07.06 08:56:49								
ME01	ME01	YB-PMME1	5	000001	Deflection	Durchbiegung	2017.07.06 08:56:49								
ME01	ME01	YB-PMME1	A	000001	Temporarily repaired	Vorübergehend repariert	2017.07.06 08:56:49								
ME01	ME01	YB-PMME1	B	000001	Bearing	Lager	2017.07.06 08:56:49								
ME01	ME01	YB-PMME1	C	000001	Crack	Riss	2017.07.06 08:56:49								
ME02	ME02	YB-PMME1	2	000001	Replace part	Teil ersetzen	2017.07.06 08:56:49								
ME02	ME02	YB-PMME1	5	000001	Corrosion	Korrosion	2017.07.06 08:56:49								
ME02	ME02	YB-PMME1	A	000001	Part lubricated	Teil geschmiert	2017.07.06 08:56:49								
ME02	ME02	YB-PMME1	B	000001	Gear box	Getriebe	2017.07.06 08:56:49								
ME02	ME02	YB-PMME1	C	000001	Difficult to move	Schwer zu bewegen	2017.07.06 08:56:49								
ME03	ME03	YB-PMME1	2	000001	Order part	Teil bestellen	2017.07.06 08:56:49								
ME03	ME03	YB-PMME1	5	000001	Breakage	Bruch	2017.07.06 08:56:49								
ME03	ME03	YB-PMME1	A	000001	Part adjusted	Teil angepasst	2017.07.06 08:56:49								
ME03	ME03	YB-PMME1	B	000001	Belts	Riemen	2017.07.06 08:56:49								
ME03	ME03	YB-PMME1	C	000001	Bearing damage	Lagerschaden	2017.07.06 08:56:49								
ME04	ME04	YB-PMME1	2	000001	Change drawing	Zeichnung ändern	2017.07.06 08:56:49								
ME04	ME04	YB-PMME1	5	000001	Abrasion	Verschleiß	2017.07.06 08:56:49								
ME04	ME04	YB-PMME1	C	000001	Gear box damage	Getriebeschaden	2017.07.06 08:56:49								
R	R	UD03	3	000001	Rejected	Rückgewiesen	2017.07.06 08:56:49								
R	R	UD10	3	000001	Rejected	Rückgewiesen	2017.07.06 08:56:49								
R1	R1	UD01	3	000001	Rejected-blocked stock	Rückgewiesen - gesperrter Bestand	2017.07.06 08:56:49								
R1	R1	UD04	3	000001	Rejected-blocked Stock	Rückgewiesen - gesperrter Bestand	2017.07.06 08:56:49								
R1	R1	UD08	3	000001	Rejected-blocked Stock	Rückgewiesen - gesperrter Bestand	2017.07.06 08:56:49								
R1	R1	UD1701	3	000001	Rejected-blocked stock		2017.07.06 08:56:49								
R1	R1	UD1701P	3	000001	Rejected-blocked stock		2017.07.06 08:56:49								
R210	R210	UD01	3	000001	Rejected-return supplier w/o delivery	Rückgewiesen - Lieferantenret. ohne Lief	2017.07.06 08:56:49								
R220	R220	UD01	3	000001	Rejected-return supplier with delivery	Rückgewiesen - Lieferantenret. mit Lief.	2017.07.06 08:56:49								
R310	R310	UD04	3	000001	Rejected-scrap (partial quantity)	Rückgewiesen - Ausschuss (Teilmenge)	2017.07.06 08:56:49								
R310	R310	UD08	3	000001	Rejected-scrap (partial quantity)	Rückgewiesen - Ausschuss (Teilmenge)	2017.07.06 08:56:49								
R320	R320	UD04	3	000001	Rejected-scrap (complete quantity)	Rückgewiesen - Ausschuss (Gesamtmenge)	2017.07.06 08:56:49								
R320	R320	UD08	3	000001	Rejected-scrap (complete quantity)	Rückgewiesen - Ausschuss (Gesamtmenge)	2017.07.06 08:56:49								
