LEGACY_COUNTRY_DIALLING_CODE	COUNTRY_DIALLING_CODE	COUNTRY_CODE	COUNTRY_DIALLING_CODE_TXT_GBL	COUNTRY_DIALLING_CODE_TXT_LCL	DI_TIMESTAMP										
7	7	KZ			2017.07.06 08:56:49										
7	7	RU			2017.07.06 08:56:49										
81	81	JP			2017.07.06 08:56:49										
82	82	KR			2017.07.06 08:56:49										
596	596	MF			2017.07.06 08:56:49										
596	596	MQ			2017.07.06 08:56:49										
597	597	SR			2017.07.06 08:56:49										
598	598	UY			2017.07.06 08:56:49										
599	599	BQ			2017.07.06 08:56:49										
599	599	CW			2017.07.06 08:56:49										
60	60	MY			2017.07.06 08:56:49										
61	61	AU			2017.07.06 08:56:49										
61	61	CC			2017.07.06 08:56:49										
61	61	CX			2017.07.06 08:56:49										
62	62	ID			2017.07.06 08:56:49										
63	63	PH			2017.07.06 08:56:49										
64	64	NZ			2017.07.06 08:56:49										
92	92	PK			2017.07.06 08:56:49										
93	93	AF			2017.07.06 08:56:49										
94	94	LK			2017.07.06 08:56:49										
95	95	MM			2017.07.06 08:56:49										
960	960	MV			2017.07.06 08:56:49										
961	961	LB			2017.07.06 08:56:49										
962	962	JO			2017.07.06 08:56:49										
963	963	SY			2017.07.06 08:56:49										
964	964	IQ			2017.07.06 08:56:49										
965	965	KW			2017.07.06 08:56:49										
966	966	SA			2017.07.06 08:56:49										
967	967	YE			2017.07.06 08:56:49										
968	968	OM			2017.07.06 08:56:49										
970	970	PS			2017.07.06 08:56:49										
971	971	AE			2017.07.06 08:56:49										
972	972	IL			2017.07.06 08:56:49										
973	973	BH			2017.07.06 08:56:49										
974	974	QA			2017.07.06 08:56:49										
975	975	BT			2017.07.06 08:56:49										
976	976	MN			2017.07.06 08:56:49										
977	977	NP			2017.07.06 08:56:49										
98	98	IR			2017.07.06 08:56:49										
992	992	TJ			2017.07.06 08:56:49										
993	993	TM			2017.07.06 08:56:49										
994	994	AZ			2017.07.06 08:56:49										
995	995	GE			2017.07.06 08:56:49										
996	996	KG			2017.07.06 08:56:49										
998	998	UZ			2017.07.06 08:56:49										
1345	1345	KY			2017.07.06 08:56:49										
1441	1441	BM			2017.07.06 08:56:49										
1473	1473	GD			2017.07.06 08:56:49										
1649	1649	TC			2017.07.06 08:56:49										
1664	1664	MS			2017.07.06 08:56:49										
1670	1670	MP			2017.07.06 08:56:49										
1671	1671	GU			2017.07.06 08:56:49										
1684	1684	AS			2017.07.06 08:56:49										
1721	1721	SX			2017.07.06 08:56:49										
1758	1758	LC			2017.07.06 08:56:49										
90	90	TR			2017.07.06 08:56:49										
1767	1767	DM			2017.07.06 08:56:49										
1784	1784	VC			2017.07.06 08:56:49										
1787	1787	PR			2017.07.06 08:56:49										
1809	1809	DO			2017.07.06 08:56:49										
1868	1868	TT			2017.07.06 08:56:49										
1869	1869	KN			2017.07.06 08:56:49										
84	84	VN			2017.07.06 08:56:49										
850	850	KP			2017.07.06 08:56:49										
852	852	HK			2017.07.06 08:56:49										
853	853	MO			2017.07.06 08:56:49										
855	855	KH			2017.07.06 08:56:49										
856	856	LA			2017.07.06 08:56:49										
86	86	CN			2017.07.06 08:56:49										
880	880	BD			2017.07.06 08:56:49										
886	886	TW			2017.07.06 08:56:49										
1876	1876	JM			2017.07.06 08:56:49										
20	20	EG			2017.07.06 08:56:49										
355	355	AL			2017.07.06 08:56:49										
356	356	MT			2017.07.06 08:56:49										
357	357	CY			2017.07.06 08:56:49										
359	359	BG			2017.07.06 08:56:49										
36	36	HU			2017.07.06 08:56:49										
371	371	LV			2017.07.06 08:56:49										
373	373	MD			2017.07.06 08:56:49										
374	374	AM			2017.07.06 08:56:49										
375	375	BY			2017.07.06 08:56:49										
376	376	AD			2017.07.06 08:56:49										
377	377	MC			2017.07.06 08:56:49										
378	378	SM			2017.07.06 08:56:49										
380	380	UA			2017.07.06 08:56:49										
381	381	RS			2017.07.06 08:56:49										
382	382	ME			2017.07.06 08:56:49										
385	385	HR			2017.07.06 08:56:49										
386	386	SI			2017.07.06 08:56:49										
387	387	BA			2017.07.06 08:56:49										
389	389	MK			2017.07.06 08:56:49										
39	39	IT			2017.07.06 08:56:49										
39	39	VA			2017.07.06 08:56:49										
40	40	RO			2017.07.06 08:56:49										
41	41	CH			2017.07.06 08:56:49										
420	420	CZ			2017.07.06 08:56:49										
421	421	SK			2017.07.06 08:56:49										
423	423	LI			2017.07.06 08:56:49										
43	43	AT			2017.07.06 08:56:49										
44	44	GB			2017.07.06 08:56:49										
44	44	GG			2017.07.06 08:56:49										
44	44	IM			2017.07.06 08:56:49										
45	45	DK			2017.07.06 08:56:49										
