LEGACY_TIME_ZONE	TIME_ZONE	TIME_ZONE_TXT_GBL	TIME_ZONE_TXT_LCL	DI_TIMESTAMP											
RUS09	RUS09	Russia (UTC+09)	Russland (UTC+09)	2018.06.19 05:33:47											
RUS10	RUS10	Russia (UTC+10)	Russland (UTC+10)	2018.06.19 05:33:47											
RUS11	RUS11	Russia (UTC+11)	Russland (UTC+11)	2018.06.19 05:33:47											
RUS12	RUS12	Russia (UTC+12)	Russland (UTC+12)	2018.06.19 05:33:47											
RUS13	RUS13	Russia (UTC+13)	Russland (UTC+13)	2018.06.19 05:33:47											
RUS14	RUS14	Russia (UTC+14)	Russland (UTC+14)	2018.06.19 05:33:47											
SYRIA	SYRIA	Syria	Syrien	2018.06.19 05:33:47											
TURKEY	TURKEY	Turkey	Türkei	2018.06.19 05:33:47											
UK	UK	England, Ireland, Scotland	England, Irland, Schottland	2018.06.19 05:33:47											
URUGUA	URUGUA	Uruguay	Uruguay	2018.06.19 05:33:47											
UT+103	UT+103	UTC+10:30	UTC+10:30	2018.06.19 05:33:47											
UT+113	UT+113	UTC+11:30	UTC+11:30	2018.06.19 05:33:47											
UT+123	UT+123	UTC+12:30	UTC+12:30	2018.06.19 05:33:47											
UT-103	UT-103	UTC-10:30	UTC-10:30	2018.06.19 05:33:47											
UT-113	UT-113	UTC-11:30	UTC-11:30	2018.06.19 05:33:47											
UT-123	UT-123	UTC-12:30	UTC-12:30	2018.06.19 05:33:47											
UTC	UTC	UTC+0	UTC+0	2018.06.19 05:33:47											
UTC+1	UTC+1	UTC+01	UTC+01	2018.06.19 05:33:47											
UTC+10	UTC+10	UTC+10	UTC+10	2018.06.19 05:33:47											
UTC+11	UTC+11	UTC+11	UTC+11	2018.06.19 05:33:47											
UTC+12	UTC+12	UTC+12	UTC+12	2018.06.19 05:33:47											
UTC+13	UTC+13	UTC+13	UTC+13	2018.06.19 05:33:47											
UTC+14	UTC+14	UTC+14	UTC+14	2018.06.19 05:33:47											
UTC+2	UTC+2	UTC+02	UTC+02	2018.06.19 05:33:47											
UTC+3	UTC+3	UTC+03	UTC+03	2018.06.19 05:33:47											
UTC+33	UTC+33	UTC+03:30	UTC+03:30	2018.06.19 05:33:47											
UTC+4	UTC+4	UTC+04	UTC+04	2018.06.19 05:33:47											
UTC+43	UTC+43	UTC+04:30	UTC+04:30	2018.06.19 05:33:47											
UTC+5	UTC+5	UTC+05	UTC+05	2018.06.19 05:33:47											
UTC+53	UTC+53	UTC+05:30	UTC+05:30	2018.06.19 05:33:47											
UTC+6	UTC+6	UTC+06	UTC+06	2018.06.19 05:33:47											
UTC+63	UTC+63	UTC+06:30	UTC+06:30	2018.06.19 05:33:47											
UTC+7	UTC+7	UTC+07	UTC+07	2018.06.19 05:33:47											
UTC+8	UTC+8	UTC+08	UTC+08	2018.06.19 05:33:47											
UTC+9	UTC+9	UTC+09	UTC+09	2018.06.19 05:33:47											
UTC+93	UTC+93	UTC+09:30	UTC+09:30	2018.06.19 05:33:47											
UTC-1	UTC-1	UTC-01	UTC-01	2018.06.19 05:33:47											
UTC-10	UTC-10	UTC-10	UTC-10	2018.06.19 05:33:47											
UTC-11	UTC-11	UTC-11	UTC-11	2018.06.19 05:33:47											
UTC-12	UTC-12	UTC-12	UTC-12	2018.06.19 05:33:47											
UTC-2	UTC-2	UTC-02	UTC-02	2018.06.19 05:33:47											
UTC-3	UTC-3	UTC-03	UTC-03	2018.06.19 05:33:47											
UTC-33	UTC-33	UTC-03:30	UTC-03:30	2018.06.19 05:33:47											
UTC-4	UTC-4	UTC-04	UTC-04	2018.06.19 05:33:47											
UTC-43	UTC-43	UTC-04:30	UTC-04:30	2018.06.19 05:33:47											
UTC-5	UTC-5	UTC-05	UTC-05	2018.06.19 05:33:47											
UTC-6	UTC-6	UTC-06	UTC-06	2018.06.19 05:33:47											
UTC-7	UTC-7	UTC-07	UTC-07	2018.06.19 05:33:47											
UTC-8	UTC-8	UTC-08	UTC-08	2018.06.19 05:33:47											
UTC-83	UTC-83	UTC-8:30	UTC-08:30	2018.06.19 05:33:47											
UTC-9	UTC-9	UTC-09	UTC-09	2018.06.19 05:33:47											
UTC-93	UTC-93	UTC-09:30	UTC-09:30	2018.06.19 05:33:47											
WAT	WAT	Western Africa	Westafrika	2018.06.19 05:33:47											
WDFT	WDFT	Walldorf Time	Walldorfzeit	2018.06.19 05:33:47											
WET	WET	Western Europe	Westeuropa	2018.06.19 05:33:47											
