LEGACY_CURRENCY	CURRENCY	ISOCD	ALTWR	GDATU	XPRIMARY	CURRENCY_TXT_GBL	CURRENCY_TXT_LCL	DI_TIMESTAMP							
HUF	HUF	HUF	348	00000000	 	Hung. Forint	Ungar. Forint	2018.06.19 05:33:47							
IDR	IDR	IDR	360	00000000	 	ID Rupiah	Indon. Rupiah	2018.06.19 05:33:47							
ILS	ILS	ILS	376	00000000	 	Israel Scheckel	Isr. Scheckel	2018.06.19 05:33:47							
INR	INR	INR	356	00000000	 	Indian Rupee	Indische Rupie	2018.06.19 05:33:47							
IQD	IQD	IQD	368	00000000	 	Iraqui Dinar	Irakisch. Dinar	2018.06.19 05:33:47							
IRR	IRR	IRR	364	00000000	 	Iranian Rial	Iranischer Rial	2018.06.19 05:33:47							
ISK	ISK	ISK	352	00000000	 	Iceland Krona	Isländ. Krone	2018.06.19 05:33:47							
JMD	JMD	JMD	388	00000000	 	Jamaican Dollar	Jamaika-Dollar	2018.06.19 05:33:47							
JOD	JOD	JOD	400	00000000	 	Jordanian Dinar	Jordan. Dinar	2018.06.19 05:33:47							
JPY	JPY	JPY	392	00000000	 	Japanese Yen	Japanischer Yen	2018.06.19 05:33:47							
KES	KES	KES	404	00000000	 	Keny. Shilling	Kenia-Schilling	2018.06.19 05:33:47							
KGS	KGS	KGS	417	00000000	 	Kyrgyzstan Som	Kirgisisch. Som	2018.06.19 05:33:47							
KHR	KHR	KHR	116	00000000	 	Cambodian Riel	Kambodsch. Riel	2018.06.19 05:33:47							
KMF	KMF	KMF	174	00000000	 	Comoros Franc	Komoren-Franc	2018.06.19 05:33:47							
KPW	KPW	KPW	408	00000000	 	N. Korean Won	Nordkorean. Won	2018.06.19 05:33:47							
KRW	KRW	KRW	410	00000000	 	S. Korean Won	Südkorean. Won	2018.06.19 05:33:47							
KWD	KWD	KWD	414	00000000	 	Kuwaiti Dinar	Kuwait-Dinar	2018.06.19 05:33:47							
KYD	KYD	KYD	136	00000000	 	Cayman Dollar	Kaiman-Dollar	2018.06.19 05:33:47							
KZT	KZT	KZT	398	00000000	 	Kazakst. Tenge	Kasach. Tenge	2018.06.19 05:33:47							
LAK	LAK	LAK	418	00000000	 	Laotian Kip	Laotischer Kip	2018.06.19 05:33:47							
