LEGACY_UNIT_OF_MEASUREMENT	UNIT_OF_MEASUREMENT	DIMENSION_KEY	EXT_UOM_COMM_FORM_TXT_GBL	EXT_UOM_COMM_FORM_TXT_LCL	DI_TIMESTAMP										
GM	GM	MOLMAS	Molar Mass	Molmasse	2017.07.06 08:56:49										
GM2	GM2	MASSBD	Mass Coverage	Massenbedeckung	2017.07.06 08:56:49										
GPH	GPH	VOLFLO	Volumetric Flow Rate	Volumenstrom	2017.07.06 08:56:49										
GQ	GQ	DENSI	Density	Dichte	2017.07.06 08:56:49										
GRO	GRO	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
GW	GW	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
H	H	TIME	Time	Zeit	2017.07.06 08:56:49										
HAR	HAR	SURFAC	Area	Fläche	2017.07.06 08:56:49										
HL	HL	VOLUME	Volume	Volumen	2017.07.06 08:56:49										
HPA	HPA	PRESS	Pressure	Druck	2017.07.06 08:56:49										
HZ	HZ	FREQU	Frequency	Frequenz	2017.07.06 08:56:49										
IN	IN	LENGTH	Length	Länge	2017.07.06 08:56:49										
IN2	IN2	SURFAC	Area	Fläche	2017.07.06 08:56:49										
IN3	IN3	VOLUME	Volume	Volumen	2017.07.06 08:56:49										
J	J	ENERGY	Energy	Energie	2017.07.06 08:56:49										
JHR	JHR	TIME	Time	Zeit	2017.07.06 08:56:49										
JKG	JKG	SPENER	Specific energy	Spezifische Energie	2017.07.06 08:56:49										
JKK	JKK	SPHCAP	Spec. Heat Capacity	Spez. Wärmekapazität	2017.07.06 08:56:49										
JMO	JMO	MOENER	Molar energy	Molare Energie	2017.07.06 08:56:49										
K	K	TEMP	Temperature	Temperatur	2017.07.06 08:56:49										
KA	KA	ECURR	Electric Current	Elektr. Strom	2017.07.06 08:56:49										
KAN	KAN	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
KAR	KAR	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
KBK	KBK	SPARAD	Spec. Act. Rad. Sub.	Spez Akt radioak Sub	2017.07.06 08:56:49										
KG	KG	MASS	Mass	Masse	2017.07.06 08:56:49										
KGF	KGF	MASSBD	Mass Coverage	Massenbedeckung	2017.07.06 08:56:49										
KGH	KGH	MASFLO	Mass Flow Rate	Massenstrom	2017.07.06 08:56:49										
KGK	KGK	MPROPO	Mass Proportion	Massenverhältnis	2017.07.06 08:56:49										
KGM	KGM	MOLMAS	Molar Mass	Molmasse	2017.07.06 08:56:49										
KGS	KGS	MASFLO	Mass Flow Rate	Massenstrom	2017.07.06 08:56:49										
KGT	KGT	MPROPO	Mass Proportion	Massenverhältnis	2017.07.06 08:56:49										
KGV	KGV	DENSI	Density	Dichte	2017.07.06 08:56:49										
KGW	KGW	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
KHZ	KHZ	FREQU	Frequency	Frequenz	2017.07.06 08:56:49										
KI	KI	AAAADL	(no dimensions)	(dimensionslos)	2017.07.06 08:56:49										
KJ	KJ	ENERGY	Energy	Energie	2017.07.06 08:56:49										
