LEGACY_COST_ELEMENT	CHART_OF_ACCOUNTS	COST_ELEMENT	COST_ELEMENT_TXT_GBL	COST_ELEMENT_TXT_LCL	DI_TIMESTAMP										
0070800000	YCOA	0070800000	OTHER EXTRA.INCOME	AUßERORDENTL ERTRAG	2017.07.06 08:56:49										
0070900000	YCOA	0070900000	FINES&PENALTIES	BUßGELDER/STRAFEN	2017.07.06 08:56:49										
0071000000	YCOA	0071000000	BANK CHARGES	NEBENKST.GELDVERKEHR	2017.07.06 08:56:49										
0071010000	YCOA	0071010000	LOSS ASSET TRANSACTN	VERLUST ANLA.-ABGANG	2017.07.06 08:56:49										
0094201000	YCOA	0094201000	BUILDINGS & PERSER	GEBÄUDE/PER. SERVICE	2017.07.06 08:56:49										
0065008300	YCOA	0065008300	SERVICES - GENERAL	DIENSTL. - ALLGEMEIN	2017.07.06 08:56:49										
0065008500	YCOA	0065008500	SUBCONTRACT.SERVICES	LOHNBEARBLEISTUNGEN	2017.07.06 08:56:49										
0065009000	YCOA	0065009000	OTHER ACTIVITY COSTS	SO AUFW BEZ LEISTUNG	2017.07.06 08:56:49										
0065050000	YCOA	0065050000	UNPLANNED DEL.COSTS	UNGEPL BEZUGSNEBENKO	2017.07.06 08:56:49										
0065100000	YCOA	0065100000	OFFICE SUPPLIES	BÜROMATERIAL	2017.07.06 08:56:49										
0065150000	YCOA	0065150000	COMPUTER SUPPLIES	EDV-MATERIAL	2017.07.06 08:56:49										
0065200000	YCOA	0065200000	OTHER SUPPLIES	SONSTIGES MATERIAL	2017.07.06 08:56:49										
0065300000	YCOA	0065300000	LEGAL&AUDIT SERVICES	RECHTS-/BERAT.KOSTEN	2017.07.06 08:56:49										
0065301000	YCOA	0065301000	MARKETING EXPENSES	MARKETINGAUFWEND.	2017.07.06 08:56:49										
0065400000	YCOA	0065400000	FREIGHT	FRACHT/FREMDLAGER	2017.07.06 08:56:49										
0065900000	YCOA	0065900000	DAMAGE LOSS	VERLUST SCHADENSFALL	2017.07.06 08:56:49										
0066000000	YCOA	0066000000	OTHER EXPENSES	SO BETRIEBL AUFWAND	2017.07.06 08:56:49										
0066000500	YCOA	0066000500	INCOME-REDCT IN PROV	ERTR.-KÜRZ. RÜCKST.	2017.07.06 08:56:49										
0041000000	YCOA	0041000000	REV DOMESTIC PROD	ERL. INLAND - ERZ.	2017.07.06 08:56:49										
0041000400	YCOA	0041000400	SALES REVENUE W/ CE	UMSATZERLÖSE MIT KA	2017.07.06 08:56:49										
0041001000	YCOA	0041001000	REV FOREIGN - PROD	ERLÖSE AUSLAND - ERZ	2017.07.06 08:56:49										
0041001500	YCOA	0041001500	REV AFFILIATE- PROD	ERL. VERBUND. - ERZ.	2017.07.06 08:56:49										
0041003000	YCOA	0041003000	ACCR REV - EBR ADJ.	AKT. ABGR. EBR-ANP.	2017.07.06 08:56:49										
0041004000	YCOA	0041004000	SALES DEDUCTION COE	ERLÖSSCHMÄLERUNG KOA	2017.07.06 08:56:49										
0041007000	YCOA	0041007000	REVENUE EXPENSES	UMSATZAUFWENDUNGEN	2017.07.06 08:56:49										
0041090000	YCOA	0041090000	OTHER OPERATING REVE	SO BETRIEBL ERTRÄGE	2017.07.06 08:56:49										
0044000000	YCOA	0044000000	OVER/UNDERPMT&DED	UNBER KUNDENABZÜGE	2017.07.06 08:56:49										
0044001000	YCOA	0044001000	SALES REBATES	KUNDENBONI	2017.07.06 08:56:49										
0044002000	YCOA	0044002000	SALES DISC DOMESTIC	KUNDENSKONTI INLAND	2017.07.06 08:56:49										
0044002100	YCOA	0044002100	SALES DISC FOREIGN	KUNDENSKONTI AUSLAND	2017.07.06 08:56:49										
0044002200	YCOA	0044002200	SALES DISC AFFILIATE	KUNDSKONTI VERBUND.	2017.07.06 08:56:49										
0044003000	YCOA	0044003000	CUST SALESDED DOMEST	KD ERLÖSSCHMÄ. INL.	2017.07.06 08:56:49										
0066019900	YCOA	0066019900	ADDITION PROVI (ZKK)	ZUF RÜCKSTELLG (ZKK)	2017.07.06 08:56:49										
0068000000	YCOA	0068000000	PURCHASE ACCOUNT RAW	EINKAUFSKONTO ROHST.	2017.07.06 08:56:49										
0068001000	YCOA	0068001000	PURCHASE ACCT PACKAG	EINKKONTO VERPACKUNG	2017.07.06 08:56:49										
0068002000	YCOA	0068002000	PURCHASE ACCT TRADIN	EINKAUFSKONTO HANDEL	2017.07.06 08:56:49										
0068010000	YCOA	0068010000	PURCH.ACC.(SF&FIN)	EINKAUFSKTO (HF/FE)	2017.07.06 08:56:49										
0070010000	YCOA	0070010000	REV POSTCAPITALIZATN	ERT. NACHAKTIVIERUNG	2017.07.06 08:56:49										
