LEGACY_GL_ACCOUNT_NUMBER	GL_ACCOUNT_NUMBER	CHART_OF_ACCOUNTS	GL_ACCOUNT_NUMBER_TXT_GBL	GL_ACCOUNT_NUMBER_TXT_LCL	DI_TIMESTAMP										
0012100100	0012100100	YCOA	Receivables Domestic - One Time Accounts	Forderungen Inland - CpD-Konten	2018.06.19 05:33:47										
0012101000	0012101000	YCOA	Receivables Domestic due > 1 Year	Forderungen Inland mit Restlaufzeit > 1 Jahr	2018.06.19 05:33:47										
0012102000	0012102000	YCOA	Receivables Domestic Adjustments	Berichtigungen Forderungen Inland	2018.06.19 05:33:47										
0012110000	0012110000	YCOA	Other Down Payments Made Current Assets	Sonstige geleistete Anzahlungen auf Umlaufvermögen	2018.06.19 05:33:47										
0012110100	0012110100	YCOA	Down Payments Made due > 1 Year	Geleistete Anzahlungen fällig > 1 Jahr	2018.06.19 05:33:47										
0012111000	0012111000	YCOA	Input Tax Clrg-other Down Pyts Made for Curr. Asts	Vorsteuer-Verr. sonst. gel. Anzahlung Umlaufverm.	2018.06.19 05:33:47										
0012112000	0012112000	YCOA	Down Payments made for Inventory	Geleistete Anzahlungen für Vorräte	2018.06.19 05:33:47										
0012113000	0012113000	YCOA	Input Tax Clearing Inventory Down Payments made	VST-Verrechnung Anzahlung Vorräte	2018.06.19 05:33:47										
0012119000	0012119000	YCOA	Down Payment Requests Vendors	Anzahlungsanforderungen Kreditoren	2018.06.19 05:33:47										
0012119200	0012119200	YCOA	Adjustment Account Vendor Down Payments	Korrekturkonto geleistete Kundenanzahlungen UV	2018.06.19 05:33:47										
0012120000	0012120000	YCOA	Receivables Foreign	Forderungen Ausland	2018.06.19 05:33:47										
0012120100	0012120100	YCOA	Receivables Foreign - One Time Accounts	Forderungen Ausland - CpD-Konten	2018.06.19 05:33:47										
0012121000	0012121000	YCOA	Receivables Foreign due > 1 Year	Forderungen Ausland mit Restlaufzeit > 1 Jahr	2018.06.19 05:33:47										
0012122000	0012122000	YCOA	Receivables Foreign Adjustments	Berichtigungen Forderungen Ausland	2018.06.19 05:33:47										
0012200100	0012200100	YCOA	Lease Receivables - Buildings (ROU)	Leasingforderungen - Gebäude (ROU)	2018.06.19 05:33:47										
0012200300	0012200300	YCOA	Lease Receivables - Motor Vehicles (ROU)	Leasingforderungen - Fuhrpark (ROU)	2018.06.19 05:33:47										
0012300000	0012300000	YCOA	Receivables affiliated Companies	Forderungen an verbundene Unternehmnen	2018.06.19 05:33:47										
0012200000	0012200000	YCOA	Lease Receivables - Land & Land Improvements (ROU)	Leasingforder. - Grundstück u. Erschließung. (ROU)	2018.06.19 05:33:47										
0012200200	0012200200	YCOA	Lease Receivables - Machinery & Equipment (ROU)	Leasingforder. - techn. Anlagen u. Maschinen (ROU)	2018.06.19 05:33:47										
0012200400	0012200400	YCOA	Lease Receivables - Office Equipment (ROU)	Leasingforder. - Betriebs-/Geschäftsausstat. (ROU)	2018.06.19 05:33:47										
0012200500	0012200500	YCOA	Lease Receivables - Furniture and Fixtures (ROU)	Leasingforderungen - Büroeinrichtung (ROU)	2018.06.19 05:33:47										
0012200600	0012200600	YCOA	Lease Receivables-Compt Hardwr and Eqpmt(ROU)	Leasingford.- Computer-Hardware/-Ausstattung (ROU)	2018.06.19 05:33:47										
0012301000	0012301000	YCOA	Receivables affiliated Companies > 1 Year	Forderungen verb. Unternehmen Restlaufz. > 1 Jahr	2018.06.19 05:33:47										
0012302000	0012302000	YCOA	Receivables affiliated Companies Adjustments	Berichtigungen Forderungen verbundene Unternehmen	2018.06.19 05:33:47										
0012303000	0012303000	YCOA	Receivables vs affil. Companies (no recon acct)	Forderungen geg. verb. Untern. (kein Abstimmkonto)	2018.06.19 05:33:47										
0012400000	0012400000	YCOA	Allowance for Doubtful Receivables	Zweifelhafte Forderungen	2018.06.19 05:33:47										
0012401000	0012401000	YCOA	Individual Value Adjustments for Receivables	Einzelwertberichtigungen zu Forderungen	2018.06.19 05:33:47										
0012401100	0012401100	YCOA	Allowance for Doubtful Receivables(Valuation)	Zweifelhafte Forderungen (Bewertung)	2018.06.19 05:33:47										
0012402000	0012402000	YCOA	Depreciation Receivables from Aff.Companies	Wertberichtigungen zu Forderungen gg. Verbundene	2018.06.19 05:33:47										
0012410000	0012410000	YCOA	Clearing of Granted Warranties to Customers	Verrechnung gewährter Garantieen an Kunden	2018.06.19 05:33:47										
0012411000	0012411000	YCOA	Guarantees given to Customers	Gegebene Bürgschaften Debitoren	2018.06.19 05:33:47										
0012420000	0012420000	YCOA	Security Deposit Customers	Sicherheitseinbehalt Debitoren	2018.06.19 05:33:47										
0012500000	0012500000	YCOA	Interest Receivables	Zins-Forderungen	2018.06.19 05:33:47										
0012501000	0012501000	YCOA	Clearing Interest Receivables	Verrechnung Zins-Forderungen	2018.06.19 05:33:47										
0012510000	0012510000	YCOA	Accounts Receivable - BoE Receivable	Forderungen - Besitzwechsel	2018.06.19 05:33:47										
0012511000	0012511000	YCOA	Accounts Receivable - BOE Bounced Check (AE)	Debitoren - geplatzter Wechsel (RAP)	2018.06.19 05:33:47										
0012530000	0012530000	YCOA	Accounts Receivable - Payment Cards	Forderungen aus Zahlungskarten	2018.06.19 05:33:47										
0012530100	0012530100	YCOA	Accounts Receivable - External Payments Clearing	Debitoren - Verrechnung externer Zahlungen	2018.06.19 05:33:47										
0012531000	0012531000	YCOA	Accounts Receivable - Unapplied Checks	Forderungen - nicht angewendete Schecks	2018.06.19 05:33:47										
0012532000	0012532000	YCOA	Clrg Cont.Claims-Check/Bill of Exch. Payments	Verrechnung Eventual-Forderung aus SW- Zahlungen	2018.06.19 05:33:47										
0012540000	0012540000	YCOA	Other Receivables (no recon acct)	Sonstige Forderungen (kein Abstimmkonto)	2018.06.19 05:33:47										
0012540200	0012540200	YCOA	Other Receivables Adjustments	Sonstige Forderungsberichtigungen	2018.06.19 05:33:47										
0012541000	0012541000	YCOA	Receivables from Tax Authorities (no recon acct)	Forderungen gegenüber Finanzbehörde (kein AbstKto)	2018.06.19 05:33:47										
0012542000	0012542000	YCOA	Receivables from Employees Overpay (no recon acct)	Forderungen an Mitarb. Überzahlung (kein AbstKto)	2018.06.19 05:33:47										
0012543000	0012543000	YCOA	Receivables from Partners (no recon acct)	Forderungen an Gesellschafter (kein Abstimmkonto)	2018.06.19 05:33:47										
0012549000	0012549000	YCOA	Depreciation from other Receivables	Wertberichtigungen zu sonstigen Forderungen	2018.06.19 05:33:47										
0012550000	0012550000	YCOA	Unbilled Revenue	Nicht fakturierter Erlös	2018.06.19 05:33:47										
0012561000	0012561000	YCOA	Prepaid Expenses	Aktive Rechnungsabgrenzung	2018.06.19 05:33:47										
0012562000	0012562000	YCOA	Deferred Income	Passive Rechngabgrzg	2018.06.19 05:33:47										
0012590000	0012590000	YCOA	Vendors with a Debit Balance	Debitorische Kreditoren	2018.06.19 05:33:47										
0012600000	0012600000	YCOA	Input Tax (VST)	Vorsteuer (VST)	2018.06.19 05:33:47										
0012600010	0012600010	YCOA	Input tax / Fixed assets VST	Vorsteuer/Anlagen VST	2018.06.19 05:33:47										
0012601000	0012601000	YCOA	Input Tax (VS1)	Vorsteuer (VS1)	2018.06.19 05:33:47										
0012602000	0012602000	YCOA	Input Tax (VS2)	Vorsteuer (VS2)	2018.06.19 05:33:47										
0012603000	0012603000	YCOA	Input tax (VS3)	Vorsteuer (VS3)	2018.06.19 05:33:47										
0012604000	0012604000	YCOA	Input Tax (VS4)	Vorsteuer (VS4)	2018.06.19 05:33:47										
0012605000	0012605000	YCOA	Import Sales Tax paid (VST)	Einfuhr-Umsatzsteuer bezahlt (VST)	2018.06.19 05:33:47										
0012605010	0012605010	YCOA	Luxury Tax VAT In (ID)	Luxussteuer Umsatzsteuer Eingang (ID)	2018.06.19 05:33:47										
0012605900	0012605900	YCOA	Input Tax account IGST (IN)	Vorsteuerkonto IGST (IN)	2018.06.19 05:33:47										
0012605901	0012605901	YCOA	Input Tax account SGST (IN)	Vorsteuerkonto SGST (IN)	2018.06.19 05:33:47										
0012605902	0012605902	YCOA	Input Tax account CGST (IN)	Vorsteuerkonto CGST (IN)	2018.06.19 05:33:47										
0012605903	0012605903	YCOA	Input Tax account UTGST (IN)	Vorsteuerkonto UTGST (IN)	2018.06.19 05:33:47										
0012605904	0012605904	YCOA	Input Tax account Compensation CESS (IN)	Vorsteuerkonto Ausgleich CESS (IN)	2018.06.19 05:33:47										
0012605905	0012605905	YCOA	Input Tax account Import IGST (IN)	Vorsteuerkonto Import IGST (IN)	2018.06.19 05:33:47										
0012605906	0012605906	YCOA	Input Tax account Import Compensation CESS (IN)	Vorsteuerkonto Import Ausgleich CESS (IN)	2018.06.19 05:33:47										
0012605907	0012605907	YCOA	Output Tax account IGST (IN)	Ausgangssteuerkonto IGST (IN)	2018.06.19 05:33:47										
0012605908	0012605908	YCOA	Output Tax account SGST (IN)	Ausgangssteuerkonto SGST (IN)	2018.06.19 05:33:47										
0012605909	0012605909	YCOA	Output Tax account CGST (IN)	Ausgangssteuerkonto CGST (IN)	2018.06.19 05:33:47										
0012605910	0012605910	YCOA	Output Tax account UTGST (IN)	Ausgangssteuerkonto UTGST (IN)	2018.06.19 05:33:47										
0012605911	0012605911	YCOA	Output Tax account Compensation CESS (IN)	Ausgangssteuerkonto Ausgleich CESS (IN)	2018.06.19 05:33:47										
0012605912	0012605912	YCOA	Reverse Charge Account IGST (IN)	Reverse-Charge-Konto IGST (IN)	2018.06.19 05:33:47										
0012605913	0012605913	YCOA	Reverse Charge Account SGST (IN)	Reverse-Charge-Konto SGST (IN)	2018.06.19 05:33:47										
