LEGACY_ISO_CODE	ISO_CODE	ISO_CODE_TXT_GBL	ISO_CODE_TXT_LCL	DI_TIMESTAMP											
DR	DR	Drum	Trommel	2017.07.06 08:56:49											
DZN	DZN	Dozen	Dutzend	2017.07.06 08:56:49											
E22	E22			2017.07.06 08:56:49											
EA	EA	Each	Each	2017.07.06 08:56:49											
FAH	FAH	Fahrenheit	Fahrenheit	2017.07.06 08:56:49											
FAR	FAR	Farad	Farad	2017.07.06 08:56:49											
FOT	FOT	Feet	Fuß	2017.07.06 08:56:49											
FTK	FTK	Square foot	Quadratfuß	2017.07.06 08:56:49											
FTQ	FTQ	Cubic foot	Kubikfuß	2017.07.06 08:56:49											
GE	GE	US Pound/US Gallon	US Pfund/US Gallone	2017.07.06 08:56:49											
GJ	GJ	Gram/Milliliter	Gramm/Milliliter	2017.07.06 08:56:49											
GK	GK	Gram/kilogram	Gramm/Kilogramm	2017.07.06 08:56:49											
GL	GL	Gram/liter	Gramm/Liter	2017.07.06 08:56:49											
GLL	GLL	US gallon	US-Gallone	2017.07.06 08:56:49											
GM	GM	Gram/square meter	Gramm/Quadratmeter	2017.07.06 08:56:49											
GP	GP	Milligram/cubic meter	Milligramm/Kubikmeter	2017.07.06 08:56:49											
GQ	GQ	Microgram/cubic meter	Mikrogramm/Kubikmeter	2017.07.06 08:56:49											
GRM	GRM	Gram	Gramm	2017.07.06 08:56:49											
GRO	GRO	Gross	Gross	2017.07.06 08:56:49											
GV	GV	Gigajoule	Gigajoule	2017.07.06 08:56:49											
HAR	HAR	Hectare	Hektar	2017.07.06 08:56:49											
HLT	HLT	Hectoliter	Hektoliter	2017.07.06 08:56:49											
HTZ	HTZ	Hertz	Hertz	2017.07.06 08:56:49											
HUR	HUR	Hour	Stunde	2017.07.06 08:56:49											
IE	IE	Person	Person	2017.07.06 08:56:49											
INH	INH	Inch	Zoll	2017.07.06 08:56:49											
INK	INK	Square inch	Quadratzoll	2017.07.06 08:56:49											
INQ	INQ	Cubic inch	Kubikzoll	2017.07.06 08:56:49											
J2	J2	Joule/Kilogram	Joule/Kilogramm	2017.07.06 08:56:49											
JOU	JOU	Joule	Joule	2017.07.06 08:56:49											
KEL	KEL	Kelvin	Kelvin	2017.07.06 08:56:49											
KGM	KGM	Kilogram	Kilogramm	2017.07.06 08:56:49											
KGS	KGS	Kilogram per second	Kilogramm/Sekunde	2017.07.06 08:56:49											
KHZ	KHZ	Kilohertz	Kilohertz	2017.07.06 08:56:49											
KJO	KJO	Kilojoule	Kilojoule	2017.07.06 08:56:49											
KMH	KMH	Kilometer/hour	Kilometer/Stunde	2017.07.06 08:56:49											
KMK	KMK	Square kilometer	Quadrat Kilometer	2017.07.06 08:56:49											
KMQ	KMQ	Kilogram per cubic meter	Kilogramm pro Kubikmeter	2017.07.06 08:56:49											
KMT	KMT	Kilometer	Kilometer	2017.07.06 08:56:49											
KPA	KPA	Kilopascal	Kilopascal	2017.07.06 08:56:49											
KVA	KVA	Kilovoltampere	Kilovoltampere	2017.07.06 08:56:49											
KVT	KVT	Kilovolt	Kilovolt	2017.07.06 08:56:49											
KWH	KWH	Kilowatt-hour	Kilowattstunde	2017.07.06 08:56:49											
KWT	KWT	Kilowatt	Kilowatt	2017.07.06 08:56:49											
L2	L2	Liter/Minute	Liter/Minute	2017.07.06 08:56:49											
LBR	LBR	US pound	US-Pfund	2017.07.06 08:56:49											
LTR	LTR	Liter	Liter	2017.07.06 08:56:49											
M1	M1	Milligram/Liter	Milligramms/Liter	2017.07.06 08:56:49											
MAW	MAW	Megawatt	Megawatt	2017.07.06 08:56:49											
MBR	MBR	Millibar	Millibar	2017.07.06 08:56:49											
MGM	MGM	Milligram	Milligramm	2017.07.06 08:56:49											
MHZ	MHZ	Megahertz	Megahertz	2017.07.06 08:56:49											
MIK	MIK	Square mile	Quadratmeile	2017.07.06 08:56:49											
MIL	MIL	Thousand	Tausend	2017.07.06 08:56:49											
MIN	MIN	Minute	Minute	2017.07.06 08:56:49											
MLT	MLT	Milliliter	Millilitre	2017.07.06 08:56:49											
MMK	MMK	Square millimeter	Quadratmillimeter	2017.07.06 08:56:49											
MMQ	MMQ	Cubic millimeter	Kubikmillimeter	2017.07.06 08:56:49											
MMT	MMT	Millimeter	Millimeter	2017.07.06 08:56:49											
MON	MON	Month	Monat	2017.07.06 08:56:49											
MPA	MPA	Megapascal	Megapascal	2017.07.06 08:56:49											
MQH	MQH	Cubic meter/Hour	Kubikmeter/Stunde	2017.07.06 08:56:49											
MQS	MQS	Cubic meter per second	Kubikmeter pro Sekunde	2017.07.06 08:56:49											
MSK	MSK	Meter per second squared	Meter pro Quadratsekunde	2017.07.06 08:56:49											
MTK	MTK	Square meter	Quadratmeter	2017.07.06 08:56:49											
MTQ	MTQ	Cubic meter	Kubikmeter	2017.07.06 08:56:49											
MTR	MTR	Meter	Meter	2017.07.06 08:56:49											
MTS	MTS	Meters per second	Meter pro Sekunde	2017.07.06 08:56:49											
MVA	MVA	Megavoltampere	Megavoltampere	2017.07.06 08:56:49											
MWH	MWH	Megawatt Hour	Megawattstunde	2017.07.06 08:56:49											
NA	NA	Milligram/kilogram	Milligramm/Kilogramm	2017.07.06 08:56:49											
NEW	NEW	Newton	Newton	2017.07.06 08:56:49											
OHM	OHM	Ohm	Ohm	2017.07.06 08:56:49											
ONZ	ONZ	Ounce	Unze	2017.07.06 08:56:49											
OZA	OZA	Fluid Ounce US	Fluid Ounce US	2017.07.06 08:56:49											
P1	P1	Percentage	Prozent	2017.07.06 08:56:49											
PA	PA	Package	Paket	2017.07.06 08:56:49											
PAL	PAL	Pascal	Pascal	2017.07.06 08:56:49											
PCE	PCE	Piece	Stück	2017.07.06 08:56:49											
PF	PF	Pallet	Palette	2017.07.06 08:56:49											
PK	PK	Pack	Packen	2017.07.06 08:56:49											
PR	PR	Pair	Paar	2017.07.06 08:56:49											
PT	PT	Pint, US liquid	Pint, U.S. liquid	2017.07.06 08:56:49											
PTS	PTS	Points		2017.07.06 08:56:49											
QT	QT	Quart, US liquid	Quart, U.S. liquid	2017.07.06 08:56:49											
RO	RO	Role	Rolle	2017.07.06 08:56:49											
S4	S4	Square meter/second	Quadratmeter/Sekunde	2017.07.06 08:56:49											
SEC	SEC	Second	Sekunde	2017.07.06 08:56:49											
SMI	SMI	Mile	Meile	2017.07.06 08:56:49											
STN	STN	US Ton	US-Tonne	2017.07.06 08:56:49											
TNE	TNE	Tonne (1000 kg)	Tonne (1000 KG)	2017.07.06 08:56:49											
VLT	VLT	Volt	Volt	2017.07.06 08:56:49											
WEE	WEE	Week	Woche	2017.07.06 08:56:49											
WTT	WTT	Watt	Watt	2017.07.06 08:56:49											
YDK	YDK	Square Yard	Quadrat Yard	2017.07.06 08:56:49											
YDQ	YDQ	Cubic yard	Kubik Yard	2017.07.06 08:56:49											
YRD	YRD	Yards	Yard	2017.07.06 08:56:49											
