LEGACY_DEPRECIATION_KEY	CHART_OF_DEP	DEPRECIATION_KEY	DEPRECIATION_KEY_TXT_GBL	DEPRECIATION_KEY_TXT_LCL	DI_TIMESTAMP										
EP2	1710	EP2	E&P S/L - Mid-Month - All Lives	Gewinn - linear - Monatsmitte, jede Nutzungsdauer	2017.07.06 08:56:49										
GWG	1710	GWG	LVA 100 % Complete depreciation	GWG 100 % Vollabschreibung	2017.07.06 08:56:49										
LINA	1710	LINA	Str.-line frm acq.value pro rata w/curb + intrst	Linear AnschWert pro rata mit Dämpfung mit Zins	2017.07.06 08:56:49										
LINS	1710	LINS	Str.-line over rem.life pro rata to zero	Linear über Restnutzungsdauer pro rata bis Null	2017.07.06 08:56:49										
LVA	1710	LVA	LVA 100 % Complete depreciation	GWG 100 % Vollabschreibung	2017.07.06 08:56:49										
M150	1710	M150	MACRS 15, 20 years property	MACRS 15, Sachanlagen 20 Jahre	2017.07.06 08:56:49										
M200	1710	M200	MACRS 3,5,7,10 years property	MACRS, Sachanlagen 3, 5, 7, 10 Jahre	2017.07.06 08:56:49										
MCAR	1710	MCAR	MACRS Luxury Auto	MACRS PKW der Oberklasse	2017.07.06 08:56:49										
MSTL	1710	MSTL	MACRS 27.5, 31.5 years property	MACRS Sachanlagen 27,5 oder 31,5	2017.07.06 08:56:49										
NA0	1710	NA0	Alt Min Tax, 150% DB	Alternative Mindeststeuer, 150 % degressiv	2017.07.06 08:56:49										
NA1	1710	NA1	Alt Min Tax, Straight Line - 40 Years	Alternative Mindeststeuer, linear - 40 Jahre	2017.07.06 08:56:49										
Y000	1710	Y000	No Depr No Interest Current Month Convention	Keine Abschr., kei. Zinsen, Konvention lauf. Monat	2017.07.06 08:56:49										
Y150	1710	Y150	DB 150% Half Year w/Bonus	Degressiv 150% Halbjahr mit Bonus	2017.07.06 08:56:49										
Y151	1710	Y151	DB 150% MQTR w/Bonus	Degressiv 150% MQTR mit Bonus	2017.07.06 08:56:49										
Y200	1710	Y200	DB 200% Half Year w/Bonus	Degressiv 200% Halbjahr mit Bonus	2017.07.06 08:56:49										
Y201	1710	Y201	DB 200% MQTR w/Bonus	Degressiv 200% MQTR mit Bonus	2017.07.06 08:56:49										
YLA1	1710	YLA1	Luxury Auto	Luxusautomobil	2017.07.06 08:56:49										
YLA2	1710	YLA2	Luxury Auto w/Bonus	Luxusautomobil mit Bonus	2017.07.06 08:56:49										
YQ15	1710	YQ15	DB 150% MQTR Convention	Degressiv 150% - MQTR-Konvention	2017.07.06 08:56:49										
YQ20	1710	YQ20	DB 200% MQTR Convention	Degressiv 200% - MQTR-Konvention	2017.07.06 08:56:49										
YRS1	1710	YRS1	RSL Current Month	RSL - Laufender Monat	2017.07.06 08:56:49										
YRX1	1710	YRX1	RSL Current Month w/Bonus	RSL - Laufender Monat mit Bonus	2017.07.06 08:56:49										
YSL1	1710	YSL1	SL Current Month	Linear - Laufender Monat	2017.07.06 08:56:49										
YSL2	1710	YSL2	SL Mid Month	Linear - Monatsmitte	2017.07.06 08:56:49										
YSL3	1710	YSL3	SL Next Month	Linear - Nächster Monat	2017.07.06 08:56:49										
YSL4	1710	YSL4	SL MQTR	Linear - MQTR	2017.07.06 08:56:49										
YSL5	1710	YSL5	SL Half Year	Linear - Halbjahr	2017.07.06 08:56:49										
YSX1	1710	YSX1	SL Current Month w/Bonus	Linear - Laufender Monat mit Bonus	2017.07.06 08:56:49										
YSX2	1710	YSX2	SL Mid Month w/Bonus	Linear - Monatsmitte mit Bonus	2017.07.06 08:56:49										
YSX3	1710	YSX3	SL Next Month w/Bonus	Linear - Nächster Monat mit Bonus	2017.07.06 08:56:49										
YSX4	1710	YSX4	SL MQTR w/Bonus	Linear - MQTR mit Bonus	2017.07.06 08:56:49										
YSX5	1710	YSX5	SL Half Year w/Bonus	Linear - Halbjahr mit Bonus	2017.07.06 08:56:49										
