LEGACY_REGION	REGION	COUNTRY	REGION_TXT_GBL	REGION_TXT_LCL	DI_TIMESTAMP										
02	02	HR	Krapinsko-zagorska	Krapinsko-zagorska	2018.06.19 05:33:47										
02	02	IR	West Azerbaijan	West-Aserbaidschan	2018.06.19 05:33:47										
02	02	JM	Saint Andrew	Saint Andrew	2018.06.19 05:33:47										
02	02	JP	Aomori	Aomori	2018.06.19 05:33:47										
02	02	KE	Bomet	Bomet	2018.06.19 05:33:47										
02	02	KN	St Anne Sandy Point	St Anne Sandy Point	2018.06.19 05:33:47										
02	02	KP	South Pyongan	Süd-Pjöngjang	2018.06.19 05:33:47										
02	02	LI	Eschen	Eschen	2018.06.19 05:33:47										
02	02	MA	L'Oriental		2018.06.19 05:33:47										
02	02	ME	Bar	Bar	2018.06.19 05:33:47										
02	02	MM	Bago	Bago	2018.06.19 05:33:47										
02	02	MR	Hodh el Gharbi	Hodh El Gharbi	2018.06.19 05:33:47										
02	02	MT	Balzan	Balzan	2018.06.19 05:33:47										
02	02	MY	Kedah	Kedah	2018.06.19 05:33:47										
02	02	NO	Akershus	Akershus	2018.06.19 05:33:47										
02	02	NR	Anabar	Anabar	2018.06.19 05:33:47										
02	02	PH	Cagayan Valley	Cagayan Valley	2018.06.19 05:33:47										
02	02	PL	Dolnoslaskie	Niederschlesien	2018.06.19 05:33:47										
02	02	RS	Srednjebanatski dis.	Dst. Srednjebanatski	2018.06.19 05:33:47										
02	02	RU	Republ.of Bashkortos	Rep. Baschkortostan	2018.06.19 05:33:47										
02	02	RW	Eastern	Eastern	2018.06.19 05:33:47										
02	02	SA	Makkah	Makkah	2018.06.19 05:33:47										
02	02	SM	Chiesanuova	Chiesanuova	2018.06.19 05:33:47										
02	02	TO	Haʻapai	Ha'apai	2018.06.19 05:33:47										
02	02	TR	Adiyaman	Adiyaman	2018.06.19 05:33:47										
02	02	TZ	Daressalam	Daressalam	2018.06.19 05:33:47										
02	02	VN	Lào Cai	Lao Cai	2018.06.19 05:33:47										
02	02	ZM	Central	Central	2018.06.19 05:33:47										
020	020	LV	Carnikava	Carnikava	2018.06.19 05:33:47										
020	020	SI	Dobrepolje	Dobrepolje	2018.06.19 05:33:47										
021	021	LV	Cesvaine	Cesvaine	2018.06.19 05:33:47										
021	021	SI	Dobrova-Polhov Grade	Dobrova-Polhov Grade	2018.06.19 05:33:47										
022	022	LV	Cēsis	Cesis	2018.06.19 05:33:47										
022	022	SI	Dol pri Ljubljani	Dol pri Ljubljani	2018.06.19 05:33:47										
023	023	LV	Cibla	Cibla	2018.06.19 05:33:47										
023	023	SI	Domzale	Domzale	2018.06.19 05:33:47										
024	024	LV	Dagda	Dagda	2018.06.19 05:33:47										
024	024	SI	Dornava	Dornava	2018.06.19 05:33:47										
025	025	LV	Daugavpils	Daugavpils	2018.06.19 05:33:47										
025	025	SI	Dravograd	Dravograd	2018.06.19 05:33:47										
026	026	LV	Dobele	Dobele	2018.06.19 05:33:47										
026	026	SI	Duplek	Duplek	2018.06.19 05:33:47										
027	027	LV	Dundaga	Dundaga	2018.06.19 05:33:47										
027	027	SI	Gorenja vas-Poljane	Gorenja vas-Poljane	2018.06.19 05:33:47										
028	028	LV	Durbe	Durbe	2018.06.19 05:33:47										
028	028	SI	Gorisnica	Gorisnica	2018.06.19 05:33:47										
029	029	LV	Engure	Engure	2018.06.19 05:33:47										
029	029	SI	Gornja Radgona	Gornja Radgona	2018.06.19 05:33:47										
03	03	AD	Encamp	Encamp	2018.06.19 05:33:47										
03	03	AL	Elbasan	Elbasan	2018.06.19 05:33:47										
03	03	AR	Cordoba	Cordoba	2018.06.19 05:33:47										
